ID,Genre
1,Action
2,Modern
3,Action
4,Action
5,Action
6,Role-Playing
7,Action
8,Role-Playing
9,Role-Playing
10,Action
10,Adventure
11,Strategy
12,Action
13,Action
14,Role-Playing
15,Adventure
16,Role-Playing
17,Strategy
18,Role-Playing
19,Strategy
20,Action
21,Strategy
22,Action
22,Adventure
23,Action
23,Adventure
24,Strategy
25,Role-Playing
26,Role-Playing
27,Action
27,Adventure
28,Action
29,Strategy
30,Simulation
31,Strategy
32,Sports
33,Action
34,Action
34,Adventure
35,Action
35,Adventure
36,Role-Playing
37,Strategy
38,Action
38,Adventure
39,Strategy
40,Action
41,Strategy
42,Strategy
43,Role-Playing
44,Sports
45,Sports
46,Action
46,Adventure
47,Action
48,Strategy
49,Role-Playing
50,Driving
51,Role-Playing
52,General
53,Simulation
54,Simulation
55,Action
55,Adventure
56,Action
56,Adventure
57,Adventure
58,Action
59,Role-Playing
60,Sports
61,Adventure
62,Sports
63,Action
64,Action
64,Adventure
65,Strategy
66,Action
67,Action
68,Action
69,Role-Playing
70,Action
70,Adventure
71,Action
72,Role-Playing
73,Role-Playing
74,Action
75,Role-Playing
76,Action
77,Role-Playing
78,Action
79,Sports
80,Simulation
81,Role-Playing
82,Miscellaneous
83,Action
84,Strategy
85,Action
86,Sports
87,Action
88,Sports
89,Action
89,Adventure
90,Action
91,Action
92,Action
93,Strategy
94,Simulation
95,Strategy
96,Simulation
97,Action
98,Simulation
99,Action
99,Adventure
100,Strategy
101,Role-Playing
102,Role-Playing
103,Driving
104,Action
104,Adventure
105,Strategy
106,Strategy
107,Strategy
108,Role-Playing
109,Action
110,Compilations
111,Strategy
112,Strategy
113,Role-Playing
114,Role-Playing
115,Role-Playing
116,Action
117,Role-Playing
118,Sports
119,Sports
120,Action
121,Action
122,Driving
123,Adventure
124,Role-Playing
125,Strategy
126,Strategy
127,Miscellaneous
128,Role-Playing
129,Action
130,Action
131,Sports
132,Strategy
133,Driving
134,Action
135,Action
136,Sports
137,Strategy
138,Role-Playing
139,Strategy
140,Driving
141,Action
142,Adventure
143,Action
144,Action
145,Sports
146,Driving
147,Action
147,Adventure
148,Strategy
149,Role-Playing
150,Simulation
151,Strategy
152,Action
152,Adventure
153,Action
154,Action
155,Strategy
156,Action
156,Adventure
157,Driving
158,Action
159,Sci-Fi
160,Action
161,Action
162,Strategy
163,Sports
164,Strategy
165,Strategy
166,Action
167,Sports
168,Role-Playing
169,Strategy
170,Strategy
171,Action
172,Action
173,Adventure
174,Card
174,Battle
174,Games
175,Strategy
176,Driving
177,Action
178,Role-Playing
179,Action
180,Action
181,Real-Time
