id,title,releaseDate,publisher,developer,genre,review,review_detail
1,Counter-Strike: Global Offensive,"Aug 21, 2012",/Valve,/Valve,/Action,Very Positive,"- 84% of the 40,756 user reviews in the last 30 days are positive."
2,Mafia III,"Oct 6, 2016",/2K,/Hangar 13,/Action/Adventure,Mixed,"- 54% of the 6,774 user reviews for this game are positive."
3,Rocket League®,"Jul 7, 2015","/Psyonix, Inc.","/Psyonix, Inc.",/Action/Indie/Racing/Sports,Very Positive,"- 90% of the 4,891 user reviews in the last 30 days are positive."
4,Thumper,"Oct 10, 2016",/Drool,/Drool,/Action/Indie,Positive,- 100% of the 8 user reviews for this game are positive.
5,Battlerite,"Sep 20, 2016",/Stunlock Studios,/Stunlock Studios,/Action/Early Access,Overwhelmingly Positive,"- 95% of the 6,433 user reviews for this game are positive."
6,Five Nights at Freddy's: Sister Location,"Oct 7, 2016",/Scott Cawthon,/Scott Cawthon,/Action/Indie/Simulation,Very Positive,"- 91% of the 1,798 user reviews for this game are positive."
7,Grand Theft Auto V,"Apr 14, 2015",/Rockstar Games,/Rockstar North,/Action/Adventure,Very Positive,"- 74% of the 5,031 user reviews in the last 30 days are positive."
8,Dota 2,"Jul 9, 2013",/Valve,/Valve,/Action/Free to Play/Strategy,Very Positive,"- 85% of the 11,462 user reviews in the last 30 days are positive."
9,Aragami,"Oct 4, 2016",/Lince Works,/Lince Works,/Action/Adventure/Indie,Very Positive,- 90% of the 350 user reviews for this game are positive.
10,H1Z1: King of the Kill,"Feb 17, 2016",/Daybreak Game Company,/Daybreak Game Company,/Action/Adventure/Massively Multiplayer/Early Access,Mixed,"- 49% of the 3,588 user reviews in the last 30 days are positive."
11,Stardew Valley,"Feb 26, 2016",/Chucklefish,/ConcernedApe,/Indie/RPG/Simulation,Overwhelmingly Positive,"- 95% of the 1,362 user reviews in the last 30 days are positive."
12,Osiris: New Dawn,"Sep 28, 2016",/Reverb Triple XP,/Fenix Fire Entertainment,/Action/Adventure/Indie/RPG/Early Access,Mostly Positive,"- 78% of the 2,026 user reviews for this game are positive."
13,Team Fortress 2,"Oct 10, 2007",/Valve,/Valve,/Action/Free to Play,Very Positive,"- 89% of the 5,839 user reviews in the last 30 days are positive."
14,Endless Space® 2,"Oct 6, 2016",/SEGA,/AMPLITUDE Studios,/Strategy/Early Access,Very Positive,- 82% of the 281 user reviews for this game are positive.
15,Warframe,"Mar 25, 2013",/Digital Extremes,/Digital Extremes,/Action/Free to Play,Very Positive,"- 86% of the 2,133 user reviews in the last 30 days are positive."
16,Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",/Ubisoft,/Ubisoft Montreal,/Action,Mostly Positive,"- 82% of the 2,327 user reviews in the last 30 days are positive."
17,Garry's Mod,"Nov 29, 2006",/Valve,/Facepunch Studios,/Indie/Simulation,Overwhelmingly Positive,"- 94% of the 3,758 user reviews in the last 30 days are positive."
18,RimWorld,"Jul 15, 2016",/Ludeon Studios,/Ludeon Studios,/Indie/Simulation/Strategy/Early Access,Overwhelmingly Positive,- 96% of the 748 user reviews in the last 30 days are positive.
19,ARK: Survival Evolved,"Jun 2, 2015",/Studio Wildcard,/Studio Wildcard/Instinct Games/Efecto Studios/Virtual Basement LLC,/Action/Adventure/Indie/Massively Multiplayer/RPG/Early Access,Mixed,"- 58% of the 5,002 user reviews in the last 30 days are positive."
20,Dying Light: The Following - Enhanced Edition,"Jan 26, 2015",/Techland,/Techland,/Action/RPG,Very Positive,- 89% of the 666 user reviews in the last 30 days are positive.
21,Divinity: Original Sin 2,"Sep 15, 2016",/Larian Studios,/Larian Studios,/Adventure/RPG/Strategy/Early Access,Overwhelmingly Positive,- 96% of the 613 user reviews for this game are positive.
22,Fallout 4,"Nov 9, 2015",/Bethesda Softworks,/Bethesda Game Studios,/RPG,Mostly Positive,"- 69% of the 1,131 user reviews in the last 30 days are positive."
23,War Thunder,"Aug 15, 2013",/Gaijin Entertainment,/Gaijin Entertainment,/Free to Play/Massively Multiplayer/Simulation,Very Positive,"- 75% of the 1,479 user reviews in the last 30 days are positive."
24,PAYDAY 2,"Aug 13, 2013",/505 Games,/OVERKILL - a Starbreeze Studio.,/Action/RPG,Mostly Positive,"- 87% of the 3,076 user reviews in the last 30 days are positive."
25,Rust,"Dec 11, 2013",/Facepunch Studios,/Facepunch Studios,/Action/Adventure/Indie/Massively Multiplayer/RPG/Early Access,Very Positive,"- 76% of the 2,738 user reviews in the last 30 days are positive."
26,Total War: WARHAMMER,"May 24, 2016",/SEGA,/Creative Assembly,/Action/Strategy,Mixed,- 67% of the 605 user reviews in the last 30 days are positive.
27,Clustertruck,"Sep 27, 2016",/tinyBuild,/Landfall Games,/Action/Indie,Very Positive,- 89% of the 982 user reviews for this game are positive.
28,Hearts of Iron IV,"Jun 6, 2016",/Paradox Interactive,/Paradox Development Studio,/Simulation/Strategy,Very Positive,- 86% of the 337 user reviews in the last 30 days are positive.
29,7 Days to Die,"Dec 13, 2013",/The Fun Pimps Entertainment LLC,/The Fun Pimps,/Action/Adventure/Indie/RPG/Simulation/Early Access,Very Positive,- 78% of the 902 user reviews in the last 30 days are positive.
30,Arma 3,"Sep 12, 2013",/Bohemia Interactive,/Bohemia Interactive,/Action/Simulation/Strategy,Very Positive,"- 84% of the 1,201 user reviews in the last 30 days are positive."
31,Terraria,"May 16, 2011",/Re-Logic,/Re-Logic,/Action/Adventure/Indie/RPG,Overwhelmingly Positive,"- 95% of the 2,324 user reviews in the last 30 days are positive."
32,The Elder Scrolls V: Skyrim,"Nov 10, 2011",/Bethesda Softworks,/Bethesda Game Studios,/RPG,Very Positive,"- 97% of the 1,912 user reviews in the last 30 days are positive."
33,SMITE,"Sep 8, 2015",/Hi-Rez Studios,/Hi-Rez Studios,/Action/Free to Play,Very Positive,"- 82% of the 1,216 user reviews in the last 30 days are positive."
34,Kerbal Space Program,"Apr 27, 2015",/Squad,/Squad,/Indie/Simulation,Overwhelmingly Positive,- 94% of the 400 user reviews in the last 30 days are positive.
35,Stellaris,"May 9, 2016",/Paradox Interactive,/Paradox Development Studio,/Simulation/Strategy,Very Positive,- 86% of the 395 user reviews in the last 30 days are positive.
36,Sid Meier’s Civilization® VI,"Oct 21, 2016",/2K,/Firaxis,/Strategy,,
37,NBA 2K17,"Sep 20, 2016",/2K,/Visual Concepts,/Sports,Mixed,"- 52% of the 1,777 user reviews for this game are positive."
38,The Witcher® 3: Wild Hunt,"May 18, 2015",/CD PROJEKT RED,/CD PROJEKT RED,/RPG,Overwhelmingly Positive,"- 96% of the 2,248 user reviews in the last 30 days are positive."
39,SHENZHEN I/O,"Oct 6, 2016",/Zachtronics,/Zachtronics,/Indie/Simulation/Early Access,Very Positive,- 97% of the 179 user reviews for this game are positive.
40,Factorio,"Feb 25, 2016",/Wube Software LTD.,/Wube Software LTD.,/Casual/Indie/Simulation/Strategy/Early Access,Overwhelmingly Positive,- 97% of the 612 user reviews in the last 30 days are positive.
41,Undertale,"Sep 15, 2015",/tobyfox,/tobyfox,/Indie/RPG,Overwhelmingly Positive,"- 93% of the 1,658 user reviews in the last 30 days are positive."
